activ_dense,activation,dropout_0,dropout_1,dropout_2,dropout_3,filters_0,filters_1,filters_2,filters_3,filters_4,filters_5,filters_6,global_pooling,k_0,k_1,k_2,k_3,k_4,k_5,k_6,l2,lr,s_0,s_1,s_2,stack_0,stack_1,stack_2,step,perf
softmax,elu,0.7690999933951645,0.31229838695836626,0.78750125,0.821764836150438,68,248,127,517,95,126,339,True,1,4,1,2,2,2,2,0.0060862242779915685,0.21652040160931063,4,5,1,1,4,4,False,0.11349999956786633
softmax,elu,0.16755921889956996,0.7826762364553448,0.7810045217620034,0.8819680635332026,68,247,127,517,92,130,338,True,4,3,3,2,2,3,2,0.0018533452139106476,0.38237857304685235,4,4,5,2,3,3,True,0.09799999993294478
softmax,elu,0.3424029571057761,0.4305973590824221,0.8222320035352769,0.7809425302338329,437,136,496,492,48,437,453,True,5,5,3,4,4,4,3,0.00022167298811487854,0.38352078479554486,4,3,2,4,3,2,False,0.9712000089883804
softmax,relu,0.8747611713394703,0.3055706691234886,0.8347086414826125,0.8445178165739682,233,204,561,541,17,385,551,True,6,4,4,1,4,5,1,0.002036924016250928,0.4513586187854539,2,3,1,1,2,4,False,0.11349999956786633
softmax,relu,0.8747611713394703,0.3055706691234886,0.8347086414826125,0.8445178165739682,233,204,561,541,17,385,551,True,6,4,4,1,4,5,1,0.002036924016250928,0.4513586187854539,2,3,1,1,2,4,False,0.11349999956786633
softmax,relu,0.7499284252929688,0.21492765594482424,0.8798712105941773,1e-05,80,56,160,391,64,230,310,False,5,1,3,6,5,5,2,1e-05,0.3254674548506737,2,4,2,3,3,1,True,0.09799999993294478
softmax,tanh,0.4392834808681267,0.5207879264586551,0.44488591601399124,0.1420021649018532,360,10,96,485,183,331,113,True,2,3,3,5,5,5,3,0.00013411462370164793,0.28988077370683485,4,2,4,3,1,2,True,0.09580000022426248
softmax,selu,0.29493030987457275,0.8250611115097342,0.21883997858862145,0.18178842024789027,120,37,383,509,593,103,229,True,4,4,3,3,1,2,2,0.00014516555876012717,0.5463055637544316,2,3,1,4,3,2,True,0.09580000022426248
softmax,selu,0.29493030987457275,0.8250611115097342,0.21883997858862145,0.18178842024789027,120,37,383,509,593,103,229,True,4,4,3,3,1,2,2,0.00014516555876012717,0.5463055637544316,2,3,1,4,3,2,True,0.09580000022426248
softmax,elu,0.8766205957458003,0.32582564962036137,0.23981450622849287,0.7586164538921938,202,107,409,153,13,218,443,False,4,3,5,2,2,5,4,0.0011698586856410515,0.31191214980898274,3,4,2,1,3,1,False,0.9080000019073486
softmax,elu,0.8766205957458003,0.32582564962036137,0.23981450622849287,0.7586164538921938,202,107,409,153,13,218,443,False,4,3,5,2,2,5,4,0.0011698586856410515,0.31191214980898274,3,4,2,1,3,1,False,0.9064000010490417
softmax,elu,0.8766205957458003,0.32582564962036137,0.23981450622849287,0.7586164538921938,202,107,409,153,13,218,443,False,4,3,5,2,2,5,4,0.0011698586856410515,0.31191214980898274,3,4,2,1,3,1,False,0.9080000019073486
softmax,elu,0.14349047564758707,0.8526320507146614,0.244392448819259,0.5460802207761303,367,175,528,387,432,45,476,True,2,4,4,5,5,1,3,0.009586836157790865,0.8057691152760799,1,2,3,4,3,1,True,0.09799999993294478
softmax,elu,0.14349047564758707,0.8526320507146614,0.244392448819259,0.5460802207761303,367,175,528,387,432,45,476,True,2,4,4,5,5,1,3,0.009586836157790865,0.8057691152760799,1,2,3,4,3,1,True,0.09799999993294478
softmax,elu,0.14349047564758707,0.8526320507146614,0.244392448819259,0.5460802207761303,367,175,528,387,432,45,476,True,2,4,4,5,5,1,3,0.009586836157790865,0.8057691152760799,1,2,3,4,3,1,True,0.10100000012665987
softmax,relu,0.22417665946277493,0.6821967809248746,0.2535152376204417,0.8210844668895663,527,272,335,316,130,148,310,True,4,4,5,2,2,1,2,0.0008083398015560334,0.4621712869632606,3,2,4,3,1,1,True,0.09580000022426248
softmax,relu,0.22417665946277493,0.6821967809248746,0.2535152376204417,0.8210844668895663,527,272,335,316,130,148,310,True,4,4,5,2,2,1,2,0.0008083398015560334,0.4621712869632606,3,2,4,3,1,1,True,0.09580000022426248
softmax,relu,0.22417665946277493,0.6821967809248746,0.2535152376204417,0.8210844668895663,527,272,335,316,130,148,310,True,4,4,5,2,2,1,2,0.0008083398015560334,0.4621712869632606,3,2,4,3,1,1,True,0.09580000022426248
softmax,selu,0.4232085824481267,0.05517351412966702,0.31201409664278096,0.49707193547572,370,183,437,145,376,149,472,True,5,4,2,3,2,1,4,0.008400761302871452,0.9188785321777402,3,4,1,4,4,3,True,0.09820000045001506
softmax,selu,0.4232085824481267,0.05517351412966702,0.31201409664278096,0.49707193547572,370,183,437,145,376,149,472,True,5,4,2,3,2,1,4,0.008400761302871452,0.9188785321777402,3,4,1,4,4,3,True,0.10100000012665987
softmax,selu,0.4232085824481267,0.05517351412966702,0.31201409664278096,0.49707193547572,370,183,437,145,376,149,472,True,5,4,2,3,2,1,4,0.008400761302871452,0.9188785321777402,3,4,1,4,4,3,True,0.10320000007748603
softmax,tanh,0.22196719102624035,0.8204883217972379,0.3211747185370991,0.7391620971561351,292,44,551,429,546,423,441,True,5,2,4,5,2,5,2,0.001460309764033186,0.3394831518403593,2,2,3,3,3,2,True,0.09799999993294478
softmax,tanh,0.22196719102624035,0.8204883217972379,0.3211747185370991,0.7391620971561351,292,44,551,429,546,423,441,True,5,2,4,5,2,5,2,0.001460309764033186,0.3394831518403593,2,2,3,3,3,2,True,0.09820000045001506
softmax,tanh,0.22196719102624035,0.8204883217972379,0.3211747185370991,0.7391620971561351,292,44,551,429,546,423,441,True,5,2,4,5,2,5,2,0.001460309764033186,0.3394831518403593,2,2,3,3,3,2,True,0.10280000003054739
softmax,tanh,0.6725738494192627,0.5668652033316837,0.8771505760346133,0.6042596095158188,357,104,560,213,19,147,470,False,5,2,4,1,4,1,3,0.008743879219530997,0.8542717481257391,4,2,4,4,3,4,True,0.09799999993294478
softmax,tanh,0.6725738494192627,0.5668652033316837,0.8771505760346133,0.6042596095158188,357,104,560,213,19,147,470,False,5,2,4,1,4,1,3,0.008743879219530997,0.8542717481257391,4,2,4,4,3,4,True,0.16809999972581863
softmax,tanh,0.6725738494192627,0.5668652033316837,0.8771505760346133,0.6042596095158188,357,104,560,213,19,147,470,False,5,2,4,1,4,1,3,0.008743879219530997,0.8542717481257391,4,2,4,4,3,4,True,0.09799999993294478
